rank	algorithm	activation	algorithm_color
0	pca	8.245417801620926	#a6cee3
0	ica	0.021696139291211617	#1f78b4
0	nmf	0.11163245312968478	#b2df8a
0	adage	1.630940306142044	#33a02c
0	tybalt	3.2475654880701694	#fb9a99
0	vae_100	4.821263437433866	#e31a1c
0	vae_300	1.3011795435091693	#fdbf6f
1	pca	6.544235060566706	#a6cee3
1	ica	0.00752176531493292	#1f78b4
1	nmf	0.1075503797649325	#b2df8a
1	adage	1.527983459055073	#33a02c
1	tybalt	1.7917083604893893	#fb9a99
1	vae_100	3.4367522563523982	#e31a1c
1	vae_300	0.8143647923828318	#fdbf6f
2	pca	3.772041645191536	#a6cee3
2	ica	0.005722403271634434	#1f78b4
2	nmf	0.09166500339810435	#b2df8a
2	adage	1.270024937221388	#33a02c
2	tybalt	1.7364892683409183	#fb9a99
2	vae_100	2.802050977537202	#e31a1c
2	vae_300	0.5034730629470524	#fdbf6f
3	pca	3.345138124847766	#a6cee3
3	ica	0.005637279303590815	#1f78b4
3	nmf	0.08201989434772597	#b2df8a
3	adage	1.2541952394593272	#33a02c
3	tybalt	1.7070032272094036	#fb9a99
3	vae_100	2.7367806605273284	#e31a1c
3	vae_300	0.4422926922640625	#fdbf6f
4	pca	2.7525406697061063	#a6cee3
4	ica	0.005269683730677369	#1f78b4
4	nmf	0.06869421386051469	#b2df8a
4	adage	1.2490800576406405	#33a02c
4	tybalt	1.4330007998908048	#fb9a99
4	vae_100	2.086004228794096	#e31a1c
4	vae_300	0.37208872289113115	#fdbf6f
5	pca	2.3117795929560305	#a6cee3
5	ica	0.0051716430186698826	#1f78b4
5	nmf	0.06783662033464102	#b2df8a
5	adage	1.0780335435426949	#33a02c
5	tybalt	1.4075750765644903	#fb9a99
5	vae_100	1.4727573543536527	#e31a1c
5	vae_300	0.24437639687366233	#fdbf6f
6	pca	2.10961728904654	#a6cee3
6	ica	0.004492362898811689	#1f78b4
6	nmf	0.06318050205390066	#b2df8a
6	adage	0.9993205587373826	#33a02c
6	tybalt	1.3737820865721557	#fb9a99
6	vae_100	1.4539821192975457	#e31a1c
6	vae_300	0.2356164253721615	#fdbf6f
7	pca	1.902515284328127	#a6cee3
7	ica	0.004039711581189337	#1f78b4
7	nmf	0.05353463394092883	#b2df8a
7	adage	0.9285017660242665	#33a02c
7	tybalt	1.2473587719891284	#fb9a99
7	vae_100	1.3218368214916023	#e31a1c
7	vae_300	0.234876870870031	#fdbf6f
8	pca	1.8506931587922526	#a6cee3
8	ica	0.0038160815593281006	#1f78b4
8	nmf	0.03457455381482403	#b2df8a
8	adage	0.7963634015489847	#33a02c
8	tybalt	1.0263230814018187	#fb9a99
8	vae_100	1.2247556998016516	#e31a1c
8	vae_300	0.20782917520121139	#fdbf6f
9	pca	1.7662018541973863	#a6cee3
9	ica	0.0038043256944846	#1f78b4
9	nmf	0.03221375316351347	#b2df8a
9	adage	0.794322218820998	#33a02c
9	tybalt	0.6834709473866832	#fb9a99
