rank	algorithm	activation	algorithm_color
9	vae_100	1.1682016778965782	#e31a1c
9	vae_300	0.18552019032228095	#fdbf6f
10	pca	1.6522023308908276	#a6cee3
10	ica	0.003766208095989573	#1f78b4
10	nmf	0.023489042368376768	#b2df8a
10	adage	0.7322237436083638	#33a02c
10	tybalt	0.6465062563762367	#fb9a99
10	vae_100	1.1591837755775074	#e31a1c
10	vae_300	0.15939712124857724	#fdbf6f
11	pca	1.6428838603584932	#a6cee3
11	ica	0.0036085412225359942	#1f78b4
11	nmf	0.020146566171274985	#b2df8a
11	adage	0.7048204068853625	#33a02c
11	tybalt	0.6377332009485341	#fb9a99
11	vae_100	1.1263500428449462	#e31a1c
11	vae_300	0.08765829353325764	#fdbf6f
12	pca	1.5759021903916777	#a6cee3
12	ica	0.0036013913316898564	#1f78b4
12	nmf	0.018927819644653884	#b2df8a
12	adage	0.6901128467635296	#33a02c
12	tybalt	0.6369377235865545	#fb9a99
12	vae_100	1.021724120118522	#e31a1c
12	vae_300	0.06424055432731289	#fdbf6f
13	pca	1.502262792754658	#a6cee3
13	ica	0.003532932478487308	#1f78b4
13	nmf	0.012395685092454421	#b2df8a
13	adage	0.5872044385191506	#33a02c
13	tybalt	0.6011788876517015	#fb9a99
13	vae_100	0.9724849325109144	#e31a1c
13	vae_300	0.058204029897122	#fdbf6f
14	pca	1.367943518424603	#a6cee3
14	ica	0.0031910407626213827	#1f78b4
14	nmf	0.01183908671870108	#b2df8a
14	adage	0.5561460574737187	#33a02c
14	tybalt	0.6009327199374488	#fb9a99
14	vae_100	0.9229387266248792	#e31a1c
14	vae_300	0.04882229135348313	#fdbf6f
15	pca	1.3199244316605152	#a6cee3
15	ica	0.0031889712174654745	#1f78b4
15	nmf	0.011596694785731896	#b2df8a
15	adage	0.5526804614564398	#33a02c
15	tybalt	0.43124124170263567	#fb9a99
15	vae_100	0.8287803108707594	#e31a1c
15	vae_300	0.037175337980109385	#fdbf6f
16	pca	1.2784452813841676	#a6cee3
16	ica	0.003078751141105674	#1f78b4
16	nmf	0.011420078230426001	#b2df8a
16	adage	0.5012125208067966	#33a02c
16	tybalt	0.4173957762987691	#fb9a99
16	vae_100	0.7871353168884188	#e31a1c
16	vae_300	0.035524895142736726	#fdbf6f
17	pca	1.2387516443992599	#a6cee3
17	ica	0.0027953369816700402	#1f78b4
17	nmf	0.011043695144557445	#b2df8a
17	adage	0.4923444234617129	#33a02c
17	tybalt	0.24024855055514022	#fb9a99
17	vae_100	0.48728337440279446	#e31a1c
17	vae_300	0.03533969982398075	#fdbf6f
18	pca	1.1091197926850973	#a6cee3
18	ica	0.0027489348399356	#1f78b4
18	nmf	0.01089694690165361	#b2df8a
18	adage	0.44425097953167514	#33a02c
18	tybalt	0.23207110035842404	#fb9a99
18	vae_100	0.47820427600996696	#e31a1c
18	vae_300	0.029630685930134088	#fdbf6f
19	pca	1.0619351916167044	#a6cee3
19	ica	0.002608702412480138	#1f78b4
19	nmf	0.010750065903885019	#b2df8a
19	adage	0.4273029052864785	#33a02c
19	tybalt	0.2204113424004962	#fb9a99
19	vae_100	0.4637400776003633	#e31a1c
19	vae_300	0.029083958941365354	#fdbf6f
20	pca	1.0582545839637374	#a6cee3
20	ica	0.0025576924703439286	#1f78b4
20	nmf	0.009040096394750716	#b2df8a
20	adage	0.38890286481493064	#33a02c
20	tybalt	0.1950143795479724	#fb9a99
20	vae_100	0.352474757876033	#e31a1c
20	vae_300	0.025343455479240846	#fdbf6f
21	pca	1.0231488996609346	#a6cee3
21	ica	0.0025171283109742763	#1f78b4
21	nmf	0.00897448089492537	#b2df8a
21	adage	0.3711944316708271	#33a02c
21	tybalt	0.1920853253034883	#fb9a99
21	vae_100	0.35042474265184786	#e31a1c
21	vae_300	0.023113005486251493	#fdbf6f
22	pca	1.0021776509606273	#a6cee3
22	ica	0.002443391380440134	#1f78b4
22	nmf	0.00814244153751991	#b2df8a
22	adage	0.2987535329537929	#33a02c
22	tybalt	0.16278314992139886	#fb9a99
22	vae_100	0.3351546256619784	#e31a1c
22	vae_300	0.02239959192990349	#fdbf6f
23	pca	0.9776241909340477	#a6cee3
23	ica	0.002268107446033632	#1f78b4
23	nmf	0.007734558472339656	#b2df8a
23	adage	0.2405453547795502	#33a02c
23	tybalt	0.14299866347245782	#fb9a99
23	vae_100	0.3154088044724106	#e31a1c
23	vae_300	0.020618688169714613	#fdbf6f
24	pca	0.9685293273765682	#a6cee3
24	ica	0.0019997496865207715	#1f78b4
24	nmf	0.006715034931430139	#b2df8a
24	adage	0.2010541832750974	#33a02c
24	tybalt	0.13992241043567566	#fb9a99
24	vae_100	0.31114374392595806	#e31a1c
24	vae_300	0.013071718584066113	#fdbf6f
25	pca	0.9174195747862393	#a6cee3
25	ica	0.0018788328958162003	#1f78b4
25	nmf	0.006665946505127387	#b2df8a
25	adage	0.18790445720518223	#33a02c
25	tybalt	0.13133709514432254	#fb9a99
25	vae_100	0.28086309104497764	#e31a1c
25	vae_300	0.009916432094259601	#fdbf6f
26	pca	0.9077265073450547	#a6cee3
26	ica	0.0018100721992549938	#1f78b4
26	nmf	0.006657694928433239	#b2df8a
26	adage	0.14215395628693983	#33a02c
26	tybalt	0.10558506409142998	#fb9a99
26	vae_100	0.2710607005854504	#e31a1c
26	vae_300	0.009260591741850434	#fdbf6f
27	pca	0.8860590352761264	#a6cee3
27	ica	0.0016592245912060493	#1f78b4
27	nmf	0.006593797102441304	#b2df8a
27	adage	0.1334894663681001	#33a02c
27	tybalt	0.1024075309357598	#fb9a99
27	vae_100	0.2443643405935929	#e31a1c
27	vae_300	0.009052331168344715	#fdbf6f
28	pca	0.8836765413192915	#a6cee3
28	ica	0.0014829469686751203	#1f78b4
28	nmf	0.006137564126748384	#b2df8a
28	adage	0.12935859077030765	#33a02c
28	tybalt	0.0998382184526291	#fb9a99
28	vae_100	0.23172254404249726	#e31a1c
28	vae_300	0.007697494097160433	#fdbf6f
29	pca	0.7915212255378261	#a6cee3
29	ica	0.001215697086726392	#1f78b4
29	nmf	0.006011773135839692	#b2df8a
29	adage	0.1276996335332503	#33a02c
29	tybalt	0.08241370838367273	#fb9a99
29	vae_100	0.22667658860350404	#e31a1c
29	vae_300	0.007126667969661973	#fdbf6f
30	pca	0.7889445348410004	#a6cee3
30	ica	0.0011361070887539945	#1f78b4
30	nmf	0.005969237779098328	#b2df8a
30	adage	0.11543408760435359	#33a02c
30	tybalt	0.07966994355124013	#fb9a99
30	vae_100	0.19156969983535577	#e31a1c
30	vae_300	0.006390682302243663	#fdbf6f
31	pca	0.6990241462485406	#a6cee3
31	ica	0.001132989993905941	#1f78b4
31	nmf	0.0054132921149120765	#b2df8a
31	adage	0.0974267514807412	#33a02c
31	tybalt	0.07848656691848584	#fb9a99
31	vae_100	0.17393786160409164	#e31a1c
31	vae_300	0.004998671963890476	#fdbf6f
32	pca	0.6941854575257005	#a6cee3
32	ica	0.0010586616484240137	#1f78b4
32	nmf	0.005062905867717721	#b2df8a
32	adage	0.08635952936431934	#33a02c
32	tybalt	0.06438974595405686	#fb9a99
32	vae_100	0.16836132659323533	#e31a1c
32	vae_300	0.003715098042348104	#fdbf6f
33	pca	0.6544002285216757	#a6cee3
33	ica	0.0010266397336149444	#1f78b4
33	nmf	0.004595543018839794	#b2df8a
33	adage	0.08487444050194304	#33a02c
33	tybalt	0.06166806665625582	#fb9a99
33	vae_100	0.11534492808873231	#e31a1c
33	vae_300	0.0035671121637521133	#fdbf6f
34	pca	0.6289009685077632	#a6cee3
34	ica	0.0008798990066053561	#1f78b4
34	nmf	0.0041943169051039545	#b2df8a
34	adage	0.06656120492507078	#33a02c
34	tybalt	0.056719617317398295	#fb9a99
34	vae_100	0.11094630718825416	#e31a1c
34	vae_300	0.0034184649700955247	#fdbf6f
35	pca	0.6072506828015412	#a6cee3
35	ica	0.0008477894271951955	#1f78b4
35	nmf	0.00359918658905549	#b2df8a
35	adage	0.0664121420397481	#33a02c
35	tybalt	0.046933062341383724	#fb9a99
35	vae_100	0.04774344156607402	#e31a1c
35	vae_300	0.002575824415433393	#fdbf6f
36	pca	0.594502295624129	#a6cee3
36	ica	0.0008099610495769345	#1f78b4
36	nmf	0.003035648234533035	#b2df8a
36	adage	0.06587265369449624	#33a02c
36	tybalt	0.03586043482010409	#fb9a99
36	vae_100	0.018209623406576614	#e31a1c
36	vae_300	0.002359844312499689	#fdbf6f
37	pca	0.5703422782996543	#a6cee3
37	ica	0.0007375339316552181	#1f78b4
37	nmf	0.0029457941128893396	#b2df8a
37	adage	0.0577058231945895	#33a02c
37	tybalt	0.01682607225182442	#fb9a99
37	vae_100	0.011407887537982053	#e31a1c
37	vae_300	0.0018728438131866642	#fdbf6f
38	pca	0.5167283241030948	#a6cee3
38	ica	0.0006538787073212282	#1f78b4
38	nmf	0.0026095409928589266	#b2df8a
38	adage	0.05448946367267149	#33a02c
38	tybalt	0.016675651737618757	#fb9a99
38	vae_100	0.006602936631380202	#e31a1c
38	vae_300	0.0006503420816338028	#fdbf6f
39	pca	0.46014350657297026	#a6cee3
39	ica	0.0005075021952143287	#1f78b4
39	nmf	0.002589642402324329	#b2df8a
39	adage	0.043027759575311464	#33a02c
39	tybalt	0.008177897438770905	#fb9a99
39	vae_100	0.004531604632248887	#e31a1c
39	vae_300	0.0003807315917377589	#fdbf6f
40	pca	0.2508394895033393	#a6cee3
40	ica	0.00027958296318728525	#1f78b4
40	nmf	0.0024234226527266108	#b2df8a
40	adage	0.03162428615543372	#33a02c
40	tybalt	-0.002494857846936093	#fb9a99
40	vae_100	0.0030884520215839206	#e31a1c
40	vae_300	0.00011597332798724729	#fdbf6f
41	pca	0.23097321065126408	#a6cee3
41	ica	0.00020171201594449913	#1f78b4
41	nmf	0.0022096878757046547	#b2df8a
41	adage	0.011565087015434461	#33a02c
41	tybalt	-0.012163144187464753	#fb9a99
41	vae_100	-0.06226868620092582	#e31a1c
41	vae_300	0.0001136956101843253	#fdbf6f
42	pca	0.19685633246456957	#a6cee3
42	ica	0.00019376843614630612	#1f78b4
42	nmf	0.0021640714674679455	#b2df8a
42	adage	-0.003433402464986579	#33a02c
42	tybalt	-0.012607948689521113	#fb9a99
42	vae_100	-0.10036942686324046	#e31a1c
42	vae_300	4.409126343583956e-05	#fdbf6f
43	pca	0.16330591879963868	#a6cee3
43	ica	0.00015456963874924102	#1f78b4
43	nmf	0.0017673314187551408	#b2df8a
43	adage	-0.018211175178032057	#33a02c
43	tybalt	-0.015276347534565986	#fb9a99
43	vae_100	-0.11849906340822702	#e31a1c
43	vae_300	0.0	#fdbf6f
44	pca	0.15618065438990902	#a6cee3
44	ica	0.0001531688323311224	#1f78b4
44	nmf	0.0016744008804000432	#b2df8a
44	adage	-0.02705038263151821	#33a02c
44	tybalt	-0.016633637301274484	#fb9a99
44	vae_100	-0.12576462526879917	#e31a1c
44	vae_300	0.0	#fdbf6f
45	pca	0.12273392790752635	#a6cee3
45	ica	0.00011365518460200062	#1f78b4
45	nmf	0.001197882440541538	#b2df8a
45	adage	-0.03289663721520886	#33a02c
45	tybalt	-0.025241304430057926	#fb9a99
45	vae_100	-0.1277368031134265	#e31a1c
45	vae_300	0.0	#fdbf6f
46	pca	0.10109616775288688	#a6cee3
46	ica	6.399266679808584e-05	#1f78b4
46	nmf	0.001156745908500623	#b2df8a
46	adage	-0.03300365577153841	#33a02c
46	tybalt	-0.027117575845056988	#fb9a99
46	vae_100	-0.14643393259543003	#e31a1c
46	vae_300	0.0	#fdbf6f
47	pca	0.09015782353176172	#a6cee3
47	ica	4.431795194712821e-05	#1f78b4
47	nmf	0.001057111167569019	#b2df8a
47	adage	-0.04069750636702204	#33a02c
47	tybalt	-0.03025504760211708	#fb9a99
47	vae_100	-0.15711089522608512	#e31a1c
47	vae_300	-2.9414514952025316e-05	#fdbf6f
48	pca	0.086058983284096	#a6cee3
48	ica	-4.2346296626933266e-05	#1f78b4
48	nmf	0.0009089315967675455	#b2df8a
48	adage	-0.04789729417565891	#33a02c
48	tybalt	-0.03126099981456586	#fb9a99
48	vae_100	-0.16708713750911602	#e31a1c
48	vae_300	-0.000305565097664557	#fdbf6f
49	pca	0.08074079634465883	#a6cee3
49	ica	-6.268005019549215e-05	#1f78b4
49	nmf	0.0008037952167980968	#b2df8a
49	adage	-0.04909655619143671	#33a02c
49	tybalt	-0.03245901122070238	#fb9a99
49	vae_100	-0.17044782885085294	#e31a1c
49	vae_300	-0.00031431868106481013	#fdbf6f
50	pca	0.044254670685681674	#a6cee3
50	ica	-0.00010433954638295077	#1f78b4
50	nmf	0.0005414553034635908	#b2df8a
50	adage	-0.05758117993453071	#33a02c
50	tybalt	-0.048669834127611486	#fb9a99
50	vae_100	-0.17276243758425336	#e31a1c
50	vae_300	-0.0004163225994835443	#fdbf6f
51	pca	0.03855480707071868	#a6cee3
51	ica	-0.0001465609006959088	#1f78b4
51	nmf	0.0005159469666468379	#b2df8a
51	adage	-0.061769566958463695	#33a02c
51	tybalt	-0.06389424458270958	#fb9a99
51	vae_100	-0.22801023920414426	#e31a1c
51	vae_300	-0.0007607529434984811	#fdbf6f
52	pca	0.023500213906478162	#a6cee3
52	ica	-0.00019984764083827997	#1f78b4
52	nmf	0.0002535698687663058	#b2df8a
52	adage	-0.07072786027510802	#33a02c
52	tybalt	-0.0807112667050075	#fb9a99
52	vae_100	-0.26961750086430897	#e31a1c
52	vae_300	-0.001236157911208004	#fdbf6f
53	pca	0.005221795827024589	#a6cee3
53	ica	-0.0002083254091995385	#1f78b4
53	nmf	2.1265301867468e-05	#b2df8a
53	adage	-0.07377501528920649	#33a02c
53	tybalt	-0.08531304501577541	#fb9a99
53	vae_100	-0.31592438294947334	#e31a1c
53	vae_300	-0.0015281123961120879	#fdbf6f
54	pca	-0.00887004880242434	#a6cee3
54	ica	-0.0002513495468714692	#1f78b4
54	nmf	-0.0001719098436284254	#b2df8a
54	adage	-0.08145719456319878	#33a02c
54	tybalt	-0.0908471806365701	#fb9a99
54	vae_100	-0.32016233049137466	#e31a1c
54	vae_300	-0.0017561482477848102	#fdbf6f
55	pca	-0.05698663351634636	#a6cee3
55	ica	-0.0003797653647231488	#1f78b4
55	nmf	-0.0001878193044005114	#b2df8a
55	adage	-0.0824024926364304	#33a02c
55	tybalt	-0.09423856439597256	#fb9a99
55	vae_100	-0.368492455230121	#e31a1c
55	vae_300	-0.005655622308031517	#fdbf6f
56	pca	-0.0704559010342054	#a6cee3
56	ica	-0.0005171926732130657	#1f78b4
56	nmf	-0.00040348620690561546	#b2df8a
56	adage	-0.08432476625529217	#33a02c
56	tybalt	-0.10138815604210069	#fb9a99
56	vae_100	-0.39712140383018124	#e31a1c
56	vae_300	-0.006703408267284685	#fdbf6f
57	pca	-0.10127271050663156	#a6cee3
57	ica	-0.0005812988707708799	#1f78b4
57	nmf	-0.0004467324602408246	#b2df8a
57	adage	-0.08781044129106252	#33a02c
57	tybalt	-0.10536902208584564	#fb9a99
57	vae_100	-0.39741605912408096	#e31a1c
57	vae_300	-0.00679115259535419	#fdbf6f
58	pca	-0.1285422272889613	#a6cee3
58	ica	-0.0006235704704907633	#1f78b4
58	nmf	-0.000583482226712841	#b2df8a
58	adage	-0.08946915838271674	#33a02c
58	tybalt	-0.11574117213694843	#fb9a99
58	vae_100	-0.42044917427636874	#e31a1c
58	vae_300	-0.00715995341253952	#fdbf6f
59	pca	-0.13511989953666514	#a6cee3
59	ica	-0.0006472235449685479	#1f78b4
59	nmf	-0.0006397652007873128	#b2df8a
59	adage	-0.09537891692646816	#33a02c
59	tybalt	-0.1395386052569469	#fb9a99
59	vae_100	-0.42579630633094345	#e31a1c
59	vae_300	-0.00810295493234407	#fdbf6f
60	pca	-0.13870490448518935	#a6cee3
60	ica	-0.0006514870724993473	#1f78b4
60	nmf	-0.0006756695478625147	#b2df8a
60	adage	-0.09846828011591646	#33a02c
60	tybalt	-0.14603036687769	#fb9a99
60	vae_100	-0.4385208859986669	#e31a1c
60	vae_300	-0.010253528612212105	#fdbf6f
61	pca	-0.13955857363946178	#a6cee3
61	ica	-0.0006612653592792993	#1f78b4
61	nmf	-0.0009911634190445037	#b2df8a
61	adage	-0.10260746305949808	#33a02c
61	tybalt	-0.17654159590190144	#fb9a99
61	vae_100	-0.47220921163645313	#e31a1c
61	vae_300	-0.01151306831299026	#fdbf6f
62	pca	-0.20004867416823302	#a6cee3
62	ica	-0.0007054046112085403	#1f78b4
62	nmf	-0.0015420823334323496	#b2df8a
62	adage	-0.10604090418784162	#33a02c
62	tybalt	-0.18950668021433492	#fb9a99
62	vae_100	-0.5324239579088443	#e31a1c
62	vae_300	-0.012951907764745602	#fdbf6f
63	pca	-0.21659921431424256	#a6cee3
63	ica	-0.0007148079323787851	#1f78b4
63	nmf	-0.00178650335862803	#b2df8a
63	adage	-0.12189178275305412	#33a02c
63	tybalt	-0.19123685410962554	#fb9a99
63	vae_100	-0.5494664571229224	#e31a1c
63	vae_300	-0.015039276882188542	#fdbf6f
64	pca	-0.2552472290969249	#a6cee3
64	ica	-0.0008005809870589846	#1f78b4
64	nmf	-0.0017961357386415615	#b2df8a
64	adage	-0.12478848910837559	#33a02c
64	tybalt	-0.21259151913197757	#fb9a99
64	vae_100	-0.5698140755248176	#e31a1c
64	vae_300	-0.015242468080199863	#fdbf6f
65	pca	-0.2748151510330843	#a6cee3
65	ica	-0.0008826202216279307	#1f78b4
65	nmf	-0.0018780406157581757	#b2df8a
65	adage	-0.1351575961691488	#33a02c
65	tybalt	-0.2178296608643473	#fb9a99
65	vae_100	-0.6095639996232703	#e31a1c
65	vae_300	-0.015615301984779744	#fdbf6f
66	pca	-0.3061587224669783	#a6cee3
66	ica	-0.0008885965974283308	#1f78b4
66	nmf	-0.0018851510489118909	#b2df8a
66	adage	-0.13568405657448768	#33a02c
66	tybalt	-0.24402002464494377	#fb9a99
66	vae_100	-0.6194120278470541	#e31a1c
66	vae_300	-0.01871900843583922	#fdbf6f
67	pca	-0.32172044426840035	#a6cee3
67	ica	-0.0009497077561528592	#1f78b4
67	nmf	-0.0021872053795520662	#b2df8a
67	adage	-0.13883011306877302	#33a02c
67	tybalt	-0.25876328193167986	#fb9a99
67	vae_100	-0.6565464308012166	#e31a1c
67	vae_300	-0.020792085169332186	#fdbf6f
68	pca	-0.32743096367662106	#a6cee3
68	ica	-0.001018830881569372	#1f78b4
68	nmf	-0.002369396323738392	#b2df8a
68	adage	-0.15571720881945827	#33a02c
68	tybalt	-0.2673698585340313	#fb9a99
68	vae_100	-0.6977889809423882	#e31a1c
68	vae_300	-0.02258734676817191	#fdbf6f
69	pca	-0.36854501919369875	#a6cee3
69	ica	-0.0010237084333685191	#1f78b4
69	nmf	-0.0027354953625338373	#b2df8a
69	adage	-0.1880775495186744	#33a02c
69	tybalt	-0.3084121465810503	#fb9a99
69	vae_100	-0.7014563121477249	#e31a1c
69	vae_300	-0.022672295984761868	#fdbf6f
70	pca	-0.41292478908874525	#a6cee3
70	ica	-0.001076330206022316	#1f78b4
70	nmf	-0.0027697863777276614	#b2df8a
70	adage	-0.23618057486015887	#33a02c
70	tybalt	-0.32155667305162705	#fb9a99
70	vae_100	-0.7018346603191521	#e31a1c
70	vae_300	-0.023626176223614903	#fdbf6f
71	pca	-0.4468480713924482	#a6cee3
71	ica	-0.0011660659123238306	#1f78b4
71	nmf	-0.002921796064198326	#b2df8a
71	adage	-0.23801121855827745	#33a02c
71	tybalt	-0.41171018119631153	#fb9a99
71	vae_100	-0.7146951858533783	#e31a1c
71	vae_300	-0.025496016468531186	#fdbf6f
72	pca	-0.5452528772146046	#a6cee3
72	ica	-0.001198733481323965	#1f78b4
72	nmf	-0.0029595456901375175	#b2df8a
72	adage	-0.26394903372902156	#33a02c
72	tybalt	-0.4152541978726053	#fb9a99
72	vae_100	-0.737329056905285	#e31a1c
72	vae_300	-0.033435056167680735	#fdbf6f
73	pca	-0.5902910651899225	#a6cee3
73	ica	-0.001247170651887121	#1f78b4
73	nmf	-0.003337532490850201	#b2df8a
73	adage	-0.2747594122156398	#33a02c
73	tybalt	-0.45780544477385576	#fb9a99
73	vae_100	-0.7437244516201706	#e31a1c
73	vae_300	-0.04571911465735787	#fdbf6f
74	pca	-0.5917598706115833	#a6cee3
74	ica	-0.0012516449726373894	#1f78b4
74	nmf	-0.003736818718481189	#b2df8a
74	adage	-0.2787415788738592	#33a02c
74	tybalt	-0.5122380066808478	#fb9a99
74	vae_100	-0.7728431255000685	#e31a1c
74	vae_300	-0.05783172606105748	#fdbf6f
75	pca	-0.6003429521453374	#a6cee3
75	ica	-0.0014031774232605917	#1f78b4
75	nmf	-0.003919908260455289	#b2df8a
75	adage	-0.2870240879211396	#33a02c
75	tybalt	-0.5213298695591985	#fb9a99
75	vae_100	-0.7879840693897094	#e31a1c
75	vae_300	-0.05784898620708678	#fdbf6f
76	pca	-0.6545487425590917	#a6cee3
76	ica	-0.0014580382163184814	#1f78b4
76	nmf	-0.003925722977956557	#b2df8a
76	adage	-0.31343893988669347	#33a02c
76	tybalt	-0.5304714414732918	#fb9a99
76	vae_100	-0.7894220166103167	#e31a1c
76	vae_300	-0.06182986512223535	#fdbf6f
77	pca	-0.6786299758231382	#a6cee3
77	ica	-0.0014777003427282561	#1f78b4
77	nmf	-0.004385302508790398	#b2df8a
77	adage	-0.323605872460877	#33a02c
77	tybalt	-0.5366853747824378	#fb9a99
77	vae_100	-0.8033140389588743	#e31a1c
77	vae_300	-0.06195488897826072	#fdbf6f
78	pca	-0.689436646622676	#a6cee3
78	ica	-0.0015121981436111312	#1f78b4
78	nmf	-0.004609506715419067	#b2df8a
78	adage	-0.3463601897289501	#33a02c
78	tybalt	-0.5534813504398434	#fb9a99
78	vae_100	-0.8033393574899186	#e31a1c
78	vae_300	-0.06358300404212931	#fdbf6f
79	pca	-0.732577492557791	#a6cee3
79	ica	-0.0016118012652828703	#1f78b4
79	nmf	-0.004992211258427882	#b2df8a
79	adage	-0.3582653723886926	#33a02c
79	tybalt	-0.5589023625325722	#fb9a99
79	vae_100	-0.8815618117536005	#e31a1c
79	vae_300	-0.075978036901507	#fdbf6f
80	pca	-0.909672430903869	#a6cee3
80	ica	-0.0016982634996342751	#1f78b4
80	nmf	-0.0054925197742136805	#b2df8a
80	adage	-0.3656247592233765	#33a02c
80	tybalt	-0.5821583472082037	#fb9a99
80	vae_100	-0.9077899262409075	#e31a1c
80	vae_300	-0.07927210723297835	#fdbf6f
81	pca	-0.9115580890168328	#a6cee3
81	ica	-0.0017606920699598512	#1f78b4
81	nmf	-0.009588218593601205	#b2df8a
81	adage	-0.37958200021656374	#33a02c
81	tybalt	-0.7327020780822133	#fb9a99
81	vae_100	-0.9187248640029404	#e31a1c
81	vae_300	-0.09372933452559726	#fdbf6f
82	pca	-0.9141081184084594	#a6cee3
82	ica	-0.0018128388428359018	#1f78b4
82	nmf	-0.01117480368859091	#b2df8a
82	adage	-0.407660541655142	#33a02c
82	tybalt	-0.7584823648184458	#fb9a99
82	vae_100	-0.9384362927555913	#e31a1c
82	vae_300	-0.11612562082668809	#fdbf6f
83	pca	-1.067632702626799	#a6cee3
83	ica	-0.002037854555365727	#1f78b4
83	nmf	-0.012353765121052799	#b2df8a
83	adage	-0.4081997894352396	#33a02c
83	tybalt	-0.8403147438414531	#fb9a99
83	vae_100	-0.9625305931798698	#e31a1c
83	vae_300	-0.12173898950308715	#fdbf6f
84	pca	-1.067970852072376	#a6cee3
84	ica	-0.002312962506576338	#1f78b4
84	nmf	-0.01591781805443443	#b2df8a
84	adage	-0.46215347462445155	#33a02c
84	tybalt	-0.8808141804608587	#fb9a99
84	vae_100	-1.1039053388913445	#e31a1c
84	vae_300	-0.12316856656953384	#fdbf6f
85	pca	-1.1420149161185351	#a6cee3
85	ica	-0.002697427388217888	#1f78b4
85	nmf	-0.018176668650103953	#b2df8a
85	adage	-0.48465031875308373	#33a02c
85	tybalt	-0.9183254369462656	#fb9a99
85	vae_100	-1.223184367577316	#e31a1c
85	vae_300	-0.13105685684022997	#fdbf6f
86	pca	-1.2673801988181261	#a6cee3
86	ica	-0.0027514749122683458	#1f78b4
86	nmf	-0.01843576518394302	#b2df8a
86	adage	-0.5305965910367645	#33a02c
86	tybalt	-0.9482538882456354	#fb9a99
86	vae_100	-1.2515000549522415	#e31a1c
86	vae_300	-0.15346244409510573	#fdbf6f
87	pca	-1.274908886824547	#a6cee3
87	ica	-0.002894769764098636	#1f78b4
87	nmf	-0.02086206280907904	#b2df8a
87	adage	-0.5515019440740203	#33a02c
87	tybalt	-0.973874892530052	#fb9a99
87	vae_100	-1.2806819504349645	#e31a1c
87	vae_300	-0.15674768281204793	#fdbf6f
88	pca	-1.365474115311367	#a6cee3
88	ica	-0.003016849352564742	#1f78b4
